,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analyzed by:,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Element Analysis Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analyzed Date:,,,,,1/30/2023 2:42 PM,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Sample Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample name,,,,,,,DATA NAME 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method,,,,,,,Solution simple,,,,,,,,,,,(,5/20/2022 9:39 AM,,,,,,,,),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sample Image,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Analysis Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,,Component,,,,Analyzed value,,,,,Unit,,,Statistics error,,,,,L.L.D.,,,L.L.Q.,,,Analytical line,,,,,Condition name,,,,,,Intensity(cps/mA),,,,,
1,,Total,,,,885,,,,,mg/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,H2O,,,,98.9,,,,,mass%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Fe,,,,6450,,,,,ppm,,,19.8,,,,,4.03,,,12.1,,,,,,,,,,,,,,,,,,,
4,,Si,,,,1830,,,,,ppm,,,16.6,,,,,25.7,,,77.0,,,,,,,,,,,,,,,,,,,
5,,Ca,,,,1010,,,,,ppm,,,49.6,,,,,102,,,306,,,,,,,,,,,,,,,,,,,
6,,Zn,,,,497,,,,,ppm,,,2.68,,,,,1.01,,,3.02,,,,,,,,,,,,,,,,,,,
7,,Cl,,,,294,,,,,ppm,,,2.76,,,,,6.63,,,19.9,,,,,,,,,,,,,,,,,,,
8,,S,,,,210,,,,,ppm,,,3.41,,,,,8.48,,,25.4,,,,,,,,,,,,,,,,,,,
9,,Ni,,,,180,,,,,ppm,,,2.37,,,,,2.03,,,6.08,,,,,,,,,,,,,,,,,,,
10,,Mn,,,,75.9,,,,,ppm,,,3.83,,,,,7.78,,,23.3,,,,,,,,,,,,,,,,,,,
11,,Ba,,,,64.6,,,,,ppm,,,5.07,,,,,14.5,,,43.5,,,,,,,,,,,,,,,,,,,
12,,As,,,,16.6,,,,,ppm,,,0.334,,,,,0.408,,,1.22,,,,,,,,,,,,,,,,,,,
13,,Cu,,,,16.5,,,,,ppm,,,0.787,,,,,1.61,,,4.82,,,,,,,,,,,,,,,,,,,
14,,Rh,,,,13.5,,,,,ppm,,,0.529,,,,,1.15,,,3.44,,,,,,,,,,,,,,,,,,,
15,,Co,,,,(12.6),,,,,ppm,,,3.75,,,,,,,,33.2,,,,,,,,,,,,,,,,,,,
