,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analyzed by:,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Element Analysis Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analyzed Date:,,,,,1/30/2023 2:16 PM,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Sample Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample name,,,,,,,DATA NAME O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method,,,,,,,Solution simple,,,,,,,,,,,(,5/20/2022 9:39 AM,,,,,,,,),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sample Image,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Analysis Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,,Component,,,,Analyzed value,,,,,Unit,,,Statistics error,,,,,L.L.D.,,,L.L.Q.,,,Analytical line,,,,,Condition name,,,,,,Intensity(cps/mA),,,,,
1,,Total,,,,885,,,,,mg/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,H2O,,,,99.1,,,,,mass%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Fe,,,,4780,,,,,ppm,,,17.3,,,,,4.03,,,12.1,,,,,,,,,,,,,,,,,,,
4,,Si,,,,1400,,,,,ppm,,,15.1,,,,,26.0,,,77.9,,,,,,,,,,,,,,,,,,,
5,,Ca,,,,731,,,,,ppm,,,47.1,,,,,105,,,314,,,,,,,,,,,,,,,,,,,
6,,Al,,,,708,,,,,ppm,,,31.3,,,,,81.6,,,245,,,,,,,,,,,,,,,,,,,
7,,Zn,,,,443,,,,,ppm,,,2.55,,,,,0.975,,,2.92,,,,,,,,,,,,,,,,,,,
8,,Cl,,,,255,,,,,ppm,,,2.72,,,,,6.69,,,20.1,,,,,,,,,,,,,,,,,,,
9,,S,,,,181,,,,,ppm,,,3.36,,,,,8.57,,,25.7,,,,,,,,,,,,,,,,,,,
10,,Ni,,,,180,,,,,ppm,,,2.36,,,,,1.95,,,5.85,,,,,,,,,,,,,,,,,,,
11,,P,,,,77.6,,,,,ppm,,,5.25,,,,,14.6,,,43.8,,,,,,,,,,,,,,,,,,,
12,,Mn,,,,66.6,,,,,ppm,,,3.71,,,,,7.64,,,22.9,,,,,,,,,,,,,,,,,,,
13,,Ba,,,,60.3,,,,,ppm,,,5.18,,,,,15.0,,,44.9,,,,,,,,,,,,,,,,,,,
14,,Cd,,,,27.6,,,,,ppm,,,0.833,,,,,2.02,,,6.06,,,,,,,,,,,,,,,,,,,
15,,As,,,,26.8,,,,,ppm,,,0.412,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,
