,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analyzed by:,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Element Analysis Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analyzed Date:,,,,,1/30/2023 2:33 PM,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Sample Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample name,,,,,,,DATA NAME 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method,,,,,,,Solution simple,,,,,,,,,,,(,5/20/2022 9:39 AM,,,,,,,,),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sample Image,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Analysis Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,,Component,,,,Analyzed value,,,,,Unit,,,Statistics error,,,,,L.L.D.,,,L.L.Q.,,,Analytical line,,,,,Condition name,,,,,,Intensity(cps/mA),,,,,
1,,Total,,,,885,,,,,mg/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,H2O,,,,98.8,,,,,mass%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Fe,,,,8750,,,,,ppm,,,22.5,,,,,3.89,,,11.7,,,,,,,,,,,,,,,,,,,
4,,Ca,,,,1030,,,,,ppm,,,46.3,,,,,88.8,,,266,,,,,,,,,,,,,,,,,,,
5,,Si,,,,845,,,,,ppm,,,12.9,,,,,25.7,,,77.1,,,,,,,,,,,,,,,,,,,
6,,Zn,,,,545,,,,,ppm,,,2.80,,,,,1.02,,,3.06,,,,,,,,,,,,,,,,,,,
7,,Cl,,,,285,,,,,ppm,,,2.74,,,,,6.62,,,19.8,,,,,,,,,,,,,,,,,,,
8,,S,,,,206,,,,,ppm,,,3.40,,,,,8.46,,,25.4,,,,,,,,,,,,,,,,,,,
9,,Ni,,,,168,,,,,ppm,,,2.28,,,,,2.08,,,6.24,,,,,,,,,,,,,,,,,,,
10,,Mn,,,,75.7,,,,,ppm,,,3.77,,,,,7.74,,,23.2,,,,,,,,,,,,,,,,,,,
11,,Ba,,,,61.4,,,,,ppm,,,4.89,,,,,13.9,,,41.8,,,,,,,,,,,,,,,,,,,
12,,As,,,,39.8,,,,,ppm,,,0.492,,,,,0.414,,,1.24,,,,,,,,,,,,,,,,,,,
13,,Cd,,,,21.7,,,,,ppm,,,0.785,,,,,1.95,,,5.85,,,,,,,,,,,,,,,,,,,
14,,Co,,,,(20.7),,,,,ppm,,,4.25,,,,,12.4,,,37.3,,,,,,,,,,,,,,,,,,,
15,,Cu,,,,17.5,,,,,ppm,,,0.804,,,,,,,,4.84,,,,,,,,,,,,,,,,,,,
