,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analyzed by:,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Element Analysis Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analyzed Date:,,,,,1/30/2023 3:33 PM,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Sample Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample name,,,,,,,DATA NAME 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method,,,,,,,Solution simple,,,,,,,,,,,(,5/20/2022 9:39 AM,,,,,,,,),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sample Image,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Analysis Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,,Component,,,,Analyzed value,,,,,Unit,,,Statistics error,,,,,L.L.D.,,,L.L.Q.,,,Analytical line,,,,,Condition name,,,,,,Intensity(cps/mA),,,,,
1,,Total,,,,885,,,,,mg/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,H2O,,,,98.7,,,,,mass%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Fe,,,,8150,,,,,ppm,,,24.1,,,,,4.70,,,14.1,,,,,,,,,,,,,,,,,,,
4,,Si,,,,2280,,,,,ppm,,,18.1,,,,,25.7,,,77.1,,,,,,,,,,,,,,,,,,,
5,,Ca,,,,1240,,,,,ppm,,,56.6,,,,,114,,,342,,,,,,,,,,,,,,,,,,,
6,,Zn,,,,635,,,,,ppm,,,3.34,,,,,1.22,,,3.66,,,,,,,,,,,,,,,,,,,
7,,Cl,,,,278,,,,,ppm,,,2.75,,,,,6.65,,,19.9,,,,,,,,,,,,,,,,,,,
8,,Ni,,,,217,,,,,ppm,,,2.84,,,,,2.46,,,7.37,,,,,,,,,,,,,,,,,,,
9,,S,,,,202,,,,,ppm,,,3.41,,,,,8.50,,,25.5,,,,,,,,,,,,,,,,,,,
10,,P,,,,150,,,,,ppm,,,5.52,,,,,14.5,,,43.5,,,,,,,,,,,,,,,,,,,
11,,Mn,,,,97.9,,,,,ppm,,,4.57,,,,,9.12,,,27.4,,,,,,,,,,,,,,,,,,,
12,,Ba,,,,80.6,,,,,ppm,,,5.75,,,,,16.5,,,49.5,,,,,,,,,,,,,,,,,,,
13,,Cu,,,,21.9,,,,,ppm,,,0.982,,,,,1.94,,,5.83,,,,,,,,,,,,,,,,,,,
14,,As,,,,21.6,,,,,ppm,,,0.417,,,,,0.496,,,1.49,,,,,,,,,,,,,,,,,,,
15,,Co,,,,(20.7),,,,,ppm,,,4.56,,,,,,,,40.2,,,,,,,,,,,,,,,,,,,
